"Section","Catchline","Definiendum","Definition","Scope"
"7 U.S. Code § 241","Definitions","Electronic receipt","The term “electronic receipt” means a receipt that is authorized by the Secretary to be issued or transmitted under this chapter in the form of an electronic document.","In this chapter:"
"7 U.S. Code § 241","Definitions","Holder","The term “holder” means a person that has possession in fact or by operation of law of a receipt or any electronic document.","In this chapter:"
"7 U.S. Code § 241","Definitions","Person","The term “person” means—
(A) a person (as defined in section 1 of title 1);
(B) a State; and
(C) a political subdivision of a State.","In this chapter:"
"7 U.S. Code § 241","Definitions","Receipt","The term “receipt” means a warehouse receipt issued in accordance with this chapter, including an electronic receipt.","In this chapter:"
"7 U.S. Code § 241","Definitions","Secretary","The term “Secretary” means the Secretary of Agriculture.","In this chapter:"
"7 U.S. Code § 241","Definitions","Warehouse","The term “warehouse” means a structure or other approved storage facility, as determined by the Secretary, in which any agricultural product may be stored or handled for the purposes of interstate or foreign commerce.","In this chapter:"
"7 U.S. Code § 241","Definitions","Warehouse operator","The term “warehouse operator” means a person that is lawfully engaged in the business of storing or handling agricultural products.","In this chapter:"
"7 U.S. Code § 511","Definitions","Person"," “Person” includes partnerships, associations, and corporations, as well as individuals.","When used in this chapter—"
"7 U.S. Code § 511","Definitions","Secretary"," “Secretary” means the Secretary of Agriculture of the United States.","When used in this chapter—"
"7 U.S. Code § 511","Definitions","Inspector"," “Inspector” means any person employed, licensed, or authorized by the Secretary to determine and certify the type, grade, condition, or other characteristics of tobacco.","When used in this chapter—"
"7 U.S. Code § 511","Definitions","Sampler"," “Sampler” means any person employed, licensed, or authorized by the Secretary to select, tag, and seal official samples of tobacco.","When used in this chapter—"
"7 U.S. Code § 511","Definitions","Weigher"," “Weigher” means any person employed, licensed, or authorized by the Secretary to weigh and certify the weight of tobacco.","When used in this chapter—"
"7 U.S. Code § 511","Definitions","Tobacco"," “Tobacco” means tobacco in its unmanufactured form.","When used in this chapter—"
"7 U.S. Code § 511","Definitions","Auction market"," “Auction market” means a market or place to which tobacco is delivered by the producers thereof, or their agents, for sale at auction through a warehouseman or commission merchant.","When used in this chapter—"
"7 U.S. Code § 511","Definitions","Commerce"," “Commerce” means commerce between any State, Territory, or possession, or the District of Columbia, and any place outside thereof; or between points within the same State, Territory, or possession, or the District of Columbia, but through any place outside thereof; or within any Territory or possession, or the District of Columbia. For the purposes of this chapter (but not in any wise limiting the foregoing definition) a transaction in respect to tobacco shall be considered to be in commerce if such tobacco is part of that current of commerce usual in the tobacco industry whereby tobacco or products manufactured therefrom are sent from one State with the expectation that they will end their transit, after purchase, in another, including, in addition to cases within the above general description, all cases where purchase or sale is either for shipment to another State or for manufacture within the State and the shipment outside the State of the products resulting from such manufacture. Tobacco normally in such current of commerce shall not be considered out of such current through resort being had to any means or device intended to remove transactions in respect thereto from the provisions of this chapter. For the purpose of this paragraph the word “State” includes Territory, the District of Columbia, possession of the United States, and foreign nations.","When used in this chapter—"
"7 U.S. Code § 2902","Definitions","beef"," the term “beef” means flesh of cattle;","For purposes of this chapter—"
"7 U.S. Code § 2902","Definitions","beef products"," the term “beef products” means edible products produced in whole or in part from beef, exclusive of milk and products made therefrom;","For purposes of this chapter—"
"7 U.S. Code § 2902","Definitions","Board"," the term “Board” means the Cattlemen’s Beef Promotion and Research Board established under section 2904 (1) of this title;","For purposes of this chapter—"
"7 U.S. Code § 2902","Definitions","cattle"," the term “cattle” means live domesticated bovine animals regardless of age;","For purposes of this chapter—"
"7 U.S. Code § 2902","Definitions","Committee"," the term “Committee” means the Beef Promotion Operating Committee established under section 2904 (5) of this title;","For purposes of this chapter—"
"7 U.S. Code § 2902","Definitions","consumer information"," the term “consumer information” means nutritional data and other information that will assist consumers and other persons in making evaluations and decisions regarding the purchasing, preparing, and use of beef and beef products;","For purposes of this chapter—"
"7 U.S. Code § 2902","Definitions","Department"," the term “Department” means the Department of Agriculture. [1]","For purposes of this chapter—"
"7 U.S. Code § 2902","Definitions","importer"," the term “importer” means any person who imports cattle, beef, or beef products from outside the United States;","For purposes of this chapter—"
"7 U.S. Code § 2902","Definitions","industry information"," the term “industry information” means information and programs that will lead to the development of new markets, marketing strategies, increased efficiency, and activities to enhance the image of the cattle industry;","For purposes of this chapter—"
"7 U.S. Code § 2902","Definitions","order"," The  [2] term “order” means a beef promotion and research order issued under section 2903 of this title. [1]","For purposes of this chapter—"
"7 U.S. Code § 2902","Definitions","person"," the term “person” means any individual, group of individuals, partnership, corporation, association, cooperative, or any other entity;","For purposes of this chapter—"
"7 U.S. Code § 2902","Definitions","producer"," the term “producer” means any person who owns or acquires ownership of cattle, except that a person shall not be considered to be a producer if the person’s only share in the proceeds of a sale of cattle or beef is a sales commission, handling fee, or other service fee;","For purposes of this chapter—"
"7 U.S. Code § 2902","Definitions","promotion"," the term “promotion” means any action, including paid advertising, to advance the image and desirability of beef and beef products with the express intent of improving the competitive position and stimulating sales of beef and beef products in the marketplace;","For purposes of this chapter—"
"7 U.S. Code § 2902","Definitions","qualified State beef council"," the term “qualified State beef council” means a beef promotion entity that is authorized by State statute or is organized and operating within a State, that receives voluntary contributions and conducts beef promotion, research, and consumer information programs, and that is recognized by the Board as the beef promotion entity within such State;","For purposes of this chapter—"
"7 U.S. Code § 2902","Definitions","research"," the term “research” means studies testing the effectiveness of market development and promotion efforts, studies relating to the nutritional value of beef and beef products, other related food science research, and new product development;","For purposes of this chapter—"
"7 U.S. Code § 2902","Definitions","Secretary"," the term “Secretary” means the Secretary of Agriculture;","For purposes of this chapter—"
"7 U.S. Code § 2902","Definitions","State"," The  [2] term “State” means each of the 50 States; and","For purposes of this chapter—"
"7 U.S. Code § 2902","Definitions","United States"," the term “United States” means the several States and the District of Columbia.","For purposes of this chapter—"
"7 U.S. Code § 178a","Definitions","State"," The term “State” means each of the fifty States, the District of Columbia, and the Commonwealth of Puerto Rico.","As used in this subchapter—"
"7 U.S. Code § 178a","Definitions","Secretaries"," The term “Secretaries” means the Secretary of Agriculture and/or the Secretary of Commerce acting each separately or jointly.","As used in this subchapter—"
"7 U.S. Code § 178a","Definitions","commercialization"," The term “commercialization” means the stage in the development or advancement of a technology at which point private enterprise is willing to invest in a full-scale production facility.","As used in this subchapter—"
"7 U.S. Code § 178a","Definitions","native"," The term “native” means hydrocarbon-containing plants and other agricultural crops of strategic and industrial importance which may be cultured in North America, especially plants which are members of the genus Parthenium known as Guayule.","As used in this subchapter—"
"7 U.S. Code § 3402","Definitions","wheat"," The term “wheat” means all classes of wheat grains grown in the United States.","For the purposes of this chapter:"
"7 U.S. Code § 3402","Definitions","processed wheat"," The term “processed wheat” means the wheat-derived content of any substance (such as cake mix or flour) produced for use as an ingredient of an end product by changing wheat grown within the United States in form or character by any mechanical, chemical, or other means.","For the purposes of this chapter:"
"7 U.S. Code § 3402","Definitions","end product"," The term “end product” means any product which contains processed wheat as an ingredient and which is intended, as produced, for consumption as human food, notwithstanding any additional incidental preparation which may be necessary by the ultimate consumer.","For the purposes of this chapter:"
"7 U.S. Code § 3402","Definitions","wheat producer"," The term “wheat producer” means any person who grows wheat within the United States for market.","For the purposes of this chapter:"
"7 U.S. Code § 3402","Definitions","processor"," The term “processor” means any person who commercially produces processed wheat within the United States.","For the purposes of this chapter:"
"7 U.S. Code § 3402","Definitions","end product manufacturer"," The term “end product manufacturer” means any person who commercially produces an end product within the United States, but such term shall not include such persons to the extent that they produce end products on the premises where such end products are to be consumed by an ultimate consumer, including, but not limited to, hotels, restaurants, and institutions, nor shall such term include persons who produce end products for their own personal, family, or household use.","For the purposes of this chapter:"
"7 U.S. Code § 3402","Definitions","research"," The term “research” means any type of research to advance the nutritional quality, marketability, production, or other qualities of wheat, processed wheat, or end products.","For the purposes of this chapter:"
"7 U.S. Code § 3402","Definitions","nutrition education"," The term “nutrition education” means any action to disseminate to the public information resulting from research concerning the economic value or nutritional benefits of wheat, processed wheat, and end products.","For the purposes of this chapter:"
"7 U.S. Code § 3402","Definitions","Council"," The term “Council” means the Wheat Industry Council established pursuant to section 3405 of this title.","For the purposes of this chapter:"
"7 U.S. Code § 3402","Definitions","Department"," The term “Department” means the United States Department of Agriculture.","For the purposes of this chapter:"
"7 U.S. Code § 3402","Definitions","Secretary"," The term “Secretary” means the Secretary of Agriculture of the United States.","For the purposes of this chapter:"
"7 U.S. Code § 3402","Definitions","person"," The term “person” means any individual, partnership, corporation, association, or other entity.","For the purposes of this chapter:"
"7 U.S. Code § 3402","Definitions","United States"," The term “United States” means the several States and the District of Columbia, including any territory or possession.","For the purposes of this chapter:"
"7 U.S. Code § 92","Definitions","Naval stores"," “Naval stores” means spirits of turpentine and rosin.","When used in this chapter—"
"7 U.S. Code § 92","Definitions","Spirits of turpentine"," “Spirits of turpentine” includes gum spirits of turpentine and wood turpentine.","When used in this chapter—"
"7 U.S. Code § 92","Definitions","Gum spirits of turpentine"," “Gum spirits of turpentine” means spirits of turpentine made from gum (oleoresin) from a living tree.","When used in this chapter—"
"7 U.S. Code § 92","Definitions","Wood turpentine"," “Wood turpentine” includes steam distilled wood turpentine and destructively distilled wood turpentine.","When used in this chapter—"
"7 U.S. Code § 92","Definitions","Steam distilled wood turpentine"," “Steam distilled wood turpentine” means wood turpentine distilled with steam from the oleoresin within or extracted from the wood.","When used in this chapter—"
"7 U.S. Code § 92","Definitions","Destructively distilled wood turpentine"," “Destructively distilled wood turpentine” means wood turpentine obtained in the destructive distillation of the wood.","When used in this chapter—"
"7 U.S. Code § 92","Definitions","Rosin"," “Rosin” includes gum rosin and wood rosin.","When used in this chapter—"
"7 U.S. Code § 92","Definitions","Gum rosin"," “Gum rosin” means rosin remaining after the distillation of gum spirits of turpentine.","When used in this chapter—"
"7 U.S. Code § 92","Definitions","Wood rosin"," “Wood rosin” means rosin remaining after the distillation of steam distilled wood turpentine.","When used in this chapter—"
"7 U.S. Code § 92","Definitions","Package"," “Package” means any container of naval stores, and includes barrel, tank, tank car, or other receptacle.","When used in this chapter—"
"7 U.S. Code § 92","Definitions","Person"," “Person” includes partnerships, associations, and corporations, as well as individuals.","When used in this chapter—"
"7 U.S. Code § 92","Definitions","commerce"," The term “commerce” means commerce between any State, Territory, or possession, or the District of Columbia, and any place outside thereof; or between points within the same State, Territory, or possession, or the District of Columbia, but through any place outside thereof; or within any Territory or possession or the District of Columbia.","When used in this chapter—"
"7 U.S. Code § 75","Definitions","Secretary"," the term “Secretary” means the Secretary of Agriculture of the United States or delegates of the Secretary;","When used in this chapter, except where the context requires otherwise—"
"7 U.S. Code § 75","Definitions","Department of Agriculture"," the term “Department of Agriculture” means the United States Department of Agriculture;","When used in this chapter, except where the context requires otherwise—"
"7 U.S. Code § 75","Definitions","person"," the term “person” means any individual, partnership, corporation, association, or other business entity;","When used in this chapter, except where the context requires otherwise—"
"7 U.S. Code § 75","Definitions","United States"," the term “United States” means the States (including Puerto Rico) and the territories and possessions of the United States (including the District of Columbia);","When used in this chapter, except where the context requires otherwise—"
"7 U.S. Code § 75","Definitions","State"," the term “State” means any one of the States (including Puerto Rico) or territories or possessions of the United States (including the District of Columbia);","When used in this chapter, except where the context requires otherwise—"
"7 U.S. Code § 75","Definitions","interstate or foreign commerce"," the term “interstate or foreign commerce” means commerce from any State to or through any other State, or to or through any foreign country;","When used in this chapter, except where the context requires otherwise—"
"7 U.S. Code § 75","Definitions","grain"," the term “grain” means corn, wheat, rye, oats, barley, flaxseed, sorghum, soybeans, mixed grain, and any other food grains, feed grains, and oilseeds for which standards are established under section 76 of this title;","When used in this chapter, except where the context requires otherwise—"
"7 U.S. Code § 75","Definitions","export grain"," the term “export grain” means grain for shipment from the United States to any place outside thereof;","When used in this chapter, except where the context requires otherwise—"
"7 U.S. Code § 75","Definitions","official inspection"," the term “official inspection” means the determination (by original inspection, and when requested, reinspection and appeal inspection) and the certification, by official inspection personnel of the kind, class, quality, or condition of grain, under standards provided for in this chapter, or the condition of vessels and other carriers or receptacles for the transportation of grain insofar as it may affect the quality or condition of such grain; or other facts relating to grain under other criteria approved by the Secretary under this chapter (the term “officially inspected” shall be construed accordingly);","When used in this chapter, except where the context requires otherwise—"
"7 U.S. Code § 75","Definitions","official inspection personnel"," the term “official inspection personnel” means persons licensed or otherwise authorized by the Secretary pursuant to section 84 of this title to perform all or specified functions involved in official inspection, official weighing, or supervision of weighing, or in the supervision of official inspection, official weighing or supervision of weighing;","When used in this chapter, except where the context requires otherwise—"
"7 U.S. Code § 75","Definitions","official mark"," the term “official mark” means any symbol prescribed by regulations of the Secretary to show the official determination of official inspection or official weighing;","When used in this chapter, except where the context requires otherwise—"
"7 U.S. Code § 75","Definitions","official grade designation"," the term “official grade designation” means a numerical or sample grade designation, specified in the standards relating to kind, class, quality, and condition of grain, provided for in this chapter;","When used in this chapter, except where the context requires otherwise—"
"7 U.S. Code § 75","Definitions","official agency"," the term “official agency” means any State or local governmental agency, or any person, designated by the Secretary pursuant to subsection (f) ofsection 79 of this title for the conduct of official inspection (other than appeal inspection), or subsection (c) ofsection 79a of this title for the conduct of official weighing or supervision of weighing (other than appeal weighing);","When used in this chapter, except where the context requires otherwise—"
"7 U.S. Code § 75","Definitions","official certificate"," the terms “official certificate” and “official form” mean, respectively, a certificate or other form prescribed by regulations of the Secretary under this chapter;","When used in this chapter, except where the context requires otherwise—"
"7 U.S. Code § 75","Definitions","official sample"," the term “official sample” means a sample obtained from a lot of grain by, and submitted for official inspection by, official inspection personnel (the term “official sampling” shall be construed accordingly);","When used in this chapter, except where the context requires otherwise—"
"7 U.S. Code § 75","Definitions","submitted sample"," the term “submitted sample” means a sample submitted by or for an interested person for official inspection, other than an official sample;","When used in this chapter, except where the context requires otherwise—"
"7 U.S. Code § 75","Definitions","lot"," the term “lot” means a specific quantity of grain identified as such;","When used in this chapter, except where the context requires otherwise—"
"7 U.S. Code § 75","Definitions","interested person"," the term “interested person” means any person having a contract or other financial interest in grain as the owner, seller, purchaser, warehouseman, or carrier, or otherwise;","When used in this chapter, except where the context requires otherwise—"
"7 U.S. Code § 75","Definitions","ship"," the verb “ship” with respect to grain means transfer physical possession of the grain to another person for the purpose of transportation by any means of conveyance, or transport one’s own grain by any means of conveyance;","When used in this chapter, except where the context requires otherwise—"
"7 U.S. Code § 75","Definitions","false"," the terms “false”, “incorrect”, and “misleading” mean, respectively, false, incorrect, and misleading in any particular;","When used in this chapter, except where the context requires otherwise—"
"7 U.S. Code § 75","Definitions","deceptive loading, handling, weighing, or sampling"," the term “deceptive loading, handling, weighing, or sampling” means any manner of loading, handling, weighing, or sampling that deceives or tends to deceive official inspection personnel, as specified by regulations of the Secretary under this chapter;","When used in this chapter, except where the context requires otherwise—"
"7 U.S. Code § 75","Definitions","export elevator"," the term “export elevator” means any grain elevator, warehouse, or other storage or handling facility in the United States as determined by the Secretary, from which grain is shipped from the United States to an area outside thereof;","When used in this chapter, except where the context requires otherwise—"
"7 U.S. Code § 75","Definitions","export port location"," the term “export port location” means a commonly recognized port of export in the United States or Canada, as determined by the Secretary, from which grain produced in the United States is shipped to any place outside the United States;","When used in this chapter, except where the context requires otherwise—"
"7 U.S. Code § 75","Definitions","official weighing"," the term “official weighing” means the determination and certification by official inspection personnel of the quantity of a lot of grain under standards provided for in this chapter, based on the actual performance of weighing or the physical supervision thereof, including the physical inspection and testing for accuracy of the weights and scales and the physical inspection of the premises at which the weighing is performed and the monitoring of the discharge of grain into the elevator or conveyance (the terms “officially weigh” and “officially weighed” shall be construed accordingly);","When used in this chapter, except where the context requires otherwise—"
"7 U.S. Code § 75","Definitions","supervision of weighing"," the term “supervision of weighing” means such supervision by official inspection personnel of the grain-weighing process as is determined by the Secretary to be adequate to reasonably assure the integrity and accuracy of the weighing and of certificates which set forth the weight of the grain and such physical inspection by such personnel of the premises at which the grain weighing is performed as will reasonably assure that all the grain intended to be weighed has been weighed and discharged into the elevator or conveyance; and","When used in this chapter, except where the context requires otherwise—"
"7 U.S. Code § 75","Definitions","intracompany shipment"," the term “intracompany shipment” means the shipment, within the United States, of grain lots between facilities owned or controlled by the person owning the grain. The shipment of grain owned by a cooperative, from a facility owned by that cooperative, to an export facility which it jointly owns with other cooperatives, qualifies as an intracompany shipment.","When used in this chapter, except where the context requires otherwise—"
"7 U.S. Code § 62","Definitions","person"," the word “person” imports the plural or the singular, as the case demands, and includes an individual, a partnership, a corporation, or two or more persons having a joint or common interest;","Wherever used in this chapter,"
"7 U.S. Code § 62","Definitions","commerce"," the word “commerce” means commerce between any State or the District of Columbia and any place outside thereof, or between points within the same State or the District of Columbia but through any place outside thereof, or within the District of Columbia; and","Wherever used in this chapter,"
"7 U.S. Code § 62","Definitions","cotton"," the word “cotton” means cotton of any variety produced within the continental United States, including linters.","Wherever used in this chapter,"
